"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","6.4","6.58333333333333","6.7","6.7","6.7","6.55","5.89166666666667","4.975","3.99166666666667","4.36666666666667","4.26666666666667","4.35833333333333","4.9","6.16666666666667","6.2","5.84166666666667","5.55833333333333","5.33333333333333","4.25833333333333","3.94166666666667","3.89166666666667","4.03333333333333","3.61666666666667","3.35","2.575","1.675","1.54166666666667","1.63333333333334","2.175","",
"Andorra","AND","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125.916666666667","147.125","29.25","36.875","36.5725","39.5784","47.9087916666667","48.6908333333333","26.1725","15.4393455269743","13.3984966156938","4.50032920949549","6.75643368542821","6.53807760064286","7.58936660757563","12.7562991888339","6.30923166027609","3.60364026674955","3.14507073587628","3.8585034915828","",
"Albania","ALB","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5","27.3333333333333","19.8333333333333","15.3","16.7833333333333","27.2758333333333","22.56","12.9458333333333","8.3025","7.725","8.53833333333333","8.37549739428437","6.60669485084465","5.08755087231281","5.22742521887892","5.6590985397927","6.80274238793673","6.77243622651908","6.41754337281697","5.86175264225151","5.42490848079036","4.16420494025281","1.91472967614738","",
"Arab World","ARB","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","115.430014089286","131.715563141723","117.287882703543","79.6136498236847","157.070958318873","126.23854352053","281.314376560859","396.845330881801","630.03114446513","94.6859135585226","175.945564586427","371.846283395348","17235.8149966616","1517.87569734601","61.6758333333333","16.7791666666667","11.3408333333333","8.08333333333333","11.9025","7.35666666666667","6.96666666666667","7.56166666666667","8.04666666666667","8.33787833439748","16.1635974932857","39.2484458175081","10.160700678529","2.61496759139057","3.76232304842149","6.42137358813992","7.97163225634332","11.0493290172212","11.6040351112797","9.16684206720562","10.6791717588966","12.0234954622098","14.8544545942618","20.4176836843299","",
"Armenia","ARM","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.18","32.1916666666667","26.0766666666667","24.9358333333333","27.3491666666667","18.0777357591667","14.9016666666667","9.5987677864009","6.87450898516572","4.89601729381373","5.81313993524673","5.83668970684598","6.25430323671206","6.62801860934559","8.65292863099265","8.95025892533693","9.2480433144904","9.56911001362681","10.1602652886802","10.4257850294385","",
"American Samoa","ASM","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","6","6.299999999","7.5","11.4166666666667","12","12","7.95833333333333","7.64583333333333","7","7.5","9","5.99536743","5.75261740316282","5.00782550704808","4.18785200662889","4.02228160824124","4.33129095419425","4.3561052363984","4.3443829187024","4.4495482947416","5.17721846072505","4.48930797808922","4.36396949801434","4.85700062575664","4.12193447107937","3.85810817971604","3.8345593131892","3.52392393360455","3.53720155682139","3.48357886848825","3.37030687182617","3.37537690057588","3.16043061576853","3.04434917695378","2.89335369018005","",
"Australia","AUS","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","6.28628314132735","6.60059729839372","6.28628314132735","6.91491145546008","10.0580530261238","11.3153096543892","10.8438384187897","11.3153096543892","10.7128741866787","10.3723671831901","10.7914527259453","13.0440375182542","15.5061650815217","13.2715862771739","12.8739923007246","14.4694010416666","16.7492753623188","15.3702785326087","13.8000339673913","18.9486243206521","16.3466485507246","11.4144701086956","7.35800498188404","5.95384397644926","5.93874547101448","7.38316915760868","6.90001698369564","5.21401721014492","4.4792232789855","4.19235167572463","5.06806499094202","3.86018455615941","3.70416666666666","3.50833333333333","3.85","3.89166666666667","4.0625","4.52916666666667","4.725","3.07916666666667","4.2125","4.3375","3.91666666666667","3.25","2.90416666666667","",
"Austria","AUT","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","5","5","5","5","5","4.20833333333333","4","3.9375","3.625","3.03333333333333","2.73375","2.98","3.40958333333333","3.75","3.6875","2.98","2.3125","2.1875","1.70833333333333","1.5","2.65083333333333","2.20583333333333","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.08","12.8991666666667","8.45833333333333","8.65916666666667","9.54333333333333","9.18166666666667","8.52","10.5808333333333","11.5566666666667","12.2241666666667","12.1958333333333","11.64","10.8741666666667","10.215","9.89166666666667","9.17166666666667","",
"Burundi","BDI","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","4.5","5","4.5","4.5","4.5","5.95833333333333","5.33333333333333","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",
